-99,CellType,OrigCell,NewCell,PageNum,URAR Xcomps
0,2,1,3,1
0,2,2,6,1
0,2,3,7,1
0,2,4,8,1
0,2,5,9,1
0,2,6,10,1
0,2,7,11,1
0,2,8,12,1
0,2,9,13,1
0,2,10,14,1
0,2,11,15,1
0,2,12,16,1
0,2,13,17,1
0,2,14,18,1
0,2,15,19,1
0,2,16,20,1
0,2,17,21,1
0,2,18,22,1
0,2,19,23,1
0,2,20,24,1
0,2,21,25,1
0,2,22,26,1
0,2,23,27,1
0,2,24,28,1
0,2,25,29,1
0,2,26,30,1
0,2,27,31,1
0,2,28,32,1
0,2,29,33,1
0,2,30,34,1
0,2,31,35,1
0,2,32,36,1
0,2,33,37,1
0,2,34,38,1
0,2,35,39,1
0,2,36,40,1
0,2,37,41,1
0,2,38,42,1
0,2,39,43,1
0,2,40,45,1
0,2,41,46,1
0,2,42,47,1
0,2,43,48,1
0,2,44,49,1
0,2,45,50,1
0,2,46,51,1
0,2,47,52,1
0,2,48,53,1
0,2,49,54,1
0,2,50,55,1
0,2,51,56,1
0,2,52,57,1
0,2,53,58,1
0,2,54,59,1
0,2,55,60,1
0,2,56,61,1
0,2,57,62,1
0,2,58,63,1
0,2,59,64,1
0,2,60,65,1
0,2,61,66,1
0,2,62,67,1
0,2,63,68,1
0,2,64,69,1
0,2,65,70,1
0,2,66,71,1
0,2,67,72,1
0,2,68,73,1
0,2,69,74,1
0,2,70,75,1
0,2,71,76,1
0,2,72,77,1
0,2,73,78,1
0,2,74,79,1
0,2,75,80,1
0,2,76,81,1
0,2,77,82,1
0,2,78,83,1
0,2,79,84,1
0,2,80,85,1
0,2,81,86,1
0,2,82,87,1
0,2,83,88,1
0,2,84,89,1
0,2,85,90,1
0,2,86,91,1
0,2,87,92,1
0,2,88,93,1
0,2,89,94,1
0,2,90,95,1
0,2,91,96,1
0,2,92,97,1
0,2,93,98,1
0,2,94,99,1
0,2,95,100,1
0,2,96,101,1
0,2,97,102,1
0,2,98,103,1
0,2,99,104,1
0,2,100,106,1
0,2,101,107,1
0,2,102,108,1
0,2,103,109,1
0,2,104,110,1
0,2,105,111,1
0,2,106,112,1
0,2,107,113,1
0,2,108,114,1
0,2,109,115,1
0,2,110,116,1
0,2,111,117,1
0,2,112,118,1
0,2,113,119,1
0,2,114,120,1
0,2,115,121,1
0,2,116,122,1
0,2,117,123,1
0,2,118,124,1
0,2,119,125,1
0,2,120,126,1
0,2,121,127,1
0,2,122,128,1
0,2,123,129,1
0,2,124,130,1
0,2,125,131,1
0,2,126,132,1
0,2,127,133,1
0,2,128,134,1
0,2,129,135,1
0,2,130,136,1
0,2,131,137,1
0,2,132,138,1
0,2,133,139,1
0,2,134,140,1
0,2,135,141,1
0,2,136,142,1
0,2,137,143,1
0,2,138,144,1
0,2,139,145,1
0,2,140,146,1
0,2,141,147,1
0,2,142,148,1
0,2,143,149,1
0,2,144,150,1
0,2,145,151,1
0,2,146,152,1
0,2,147,153,1
0,2,148,154,1
0,2,149,155,1
0,2,150,156,1
0,2,151,157,1
0,2,152,158,1
0,2,153,159,1
0,2,154,160,1
0,2,155,161,1
0,2,156,162,1
0,2,157,163,1
0,2,158,164,1
0,2,159,165,1
0,2,160,167,1
0,2,161,168,1
0,2,162,169,1
0,2,163,170,1
0,2,164,171,1
0,2,165,172,1
0,2,166,173,1
0,2,167,174,1
0,2,168,175,1
0,2,169,176,1
0,2,170,177,1
0,2,171,178,1
0,2,172,179,1
0,2,173,180,1
0,2,174,181,1
0,2,175,182,1
0,2,176,183,1
0,2,177,184,1
0,2,178,185,1
0,2,179,186,1
0,2,180,187,1
0,2,181,188,1
0,2,182,189,1
0,2,183,190,1
0,2,184,191,1
0,2,185,192,1
0,2,186,193,1
0,2,187,194,1
0,2,188,195,1
0,2,189,196,1
0,2,190,197,1
0,2,191,198,1
0,2,192,199,1
0,2,193,200,1
0,2,194,201,1
0,2,195,202,1
0,2,196,203,1
0,2,197,204,1
0,2,198,205,1
0,2,199,206,1
0,2,200,207,1
0,2,201,208,1
0,2,202,209,1
0,2,203,210,1
0,2,204,211,1
0,2,205,212,1
0,2,206,213,1
0,2,207,214,1
0,2,208,215,1
0,2,209,216,1
0,2,210,217,1
0,2,211,218,1
0,2,212,219,1
0,2,213,220,1
0,2,214,221,1
0,2,215,222,1
0,2,216,223,1
0,2,217,224,1
0,2,218,225,1
0,2,219,226,1
0,2,220,228,1
0,2,221,229,1
0,2,222,230,1
0,2,223,232,1
0,2,224,233,1
0,2,225,234,1
0,2,226,236,1
0,2,227,237,1
0,2,228,238,1
0,2,229,240,1
0,2,230,241,1
0,2,231,242,1
0,2,232,243,1
