-99,CellType,OrigCell,NewCell,PageNum,MOBIL1,11
0,2,1,5,1
0,2,2,6,1
0,2,3,7,1
0,2,4,8,1
0,2,5,9,1
0,2,6,10,1
0,2,7,11,1
0,2,8,12,1
0,2,9,13,1
0,2,10,14,1
0,2,11,15,1
0,2,12,16,1
0,2,13,17,1
0,2,14,18,1
0,2,15,19,1
0,2,16,20,1
0,2,17,21,1
0,2,18,22,1
0,2,19,23,1
0,2,20,24,1
0,2,21,25,1
0,2,22,26,1
0,2,23,27,1
0,2,24,28,1
0,2,25,29,1
0,2,26,30,1
0,2,27,31,1
0,2,28,32,1
0,2,29,33,1
0,2,30,34,1
0,2,31,35,1
0,2,32,36,1
0,2,33,37,1
0,2,34,38,1
0,2,35,39,1
0,2,36,40,1
0,2,37,41,1
0,2,38,42,1
0,2,39,43,1
0,2,40,44,1
0,2,41,45,1
0,2,42,46,1
0,2,43,47,1
0,2,44,48,1
0,2,45,49,1
0,2,46,50,1
0,2,47,51,1
0,2,48,52,1
0,2,49,53,1
0,2,50,54,1
0,2,51,55,1
0,2,52,56,1
0,2,53,57,1
0,2,54,58,1
0,2,55,59,1
0,2,56,60,1
0,2,57,61,1
0,2,58,62,1
0,2,59,63,1
0,2,60,64,1
0,2,61,65,1
0,2,62,66,1
0,2,63,67,1
0,2,64,68,1
0,2,65,69,1
0,2,66,70,1
0,2,67,71,1
0,2,68,72,1
0,2,69,73,1
0,2,70,74,1
0,2,71,75,1
0,2,72,76,1
0,2,73,77,1
0,2,74,78,1
0,2,75,79,1
0,2,76,80,1
0,2,77,81,1
0,2,78,82,1
0,2,79,83,1
0,2,80,84,1
0,2,81,85,1
0,2,82,86,1
0,2,83,87,1
0,2,84,88,1
0,2,85,89,1
0,2,86,90,1
0,2,87,91,1
0,2,88,92,1
0,2,89,93,1
0,2,90,94,1
0,2,91,95,1
0,2,92,96,1
0,2,93,97,1
0,2,94,98,1
0,2,95,99,1
0,2,96,100,1
0,2,97,101,1
0,2,98,102,1
0,2,99,103,1
0,2,100,104,1
0,2,101,105,1
0,2,102,106,1
0,2,103,107,1
0,2,104,108,1
0,2,105,109,1
0,2,106,110,1
0,2,107,111,1
0,2,108,112,1
0,2,109,113,1
0,2,110,114,1
0,2,111,115,1
0,2,112,116,1
0,2,113,117,1
0,2,114,118,1
0,2,115,119,1
0,2,116,120,1
0,2,117,121,1
0,2,118,122,1
0,2,119,123,1
0,2,120,124,1
0,2,121,125,1
0,2,122,126,1
0,2,123,127,1
0,2,124,128,1
0,2,125,129,1
0,2,126,130,1
0,2,127,131,1
0,2,128,132,1
0,2,129,133,1
0,2,130,134,1
0,2,131,135,1
0,2,132,136,1
0,2,133,137,1
0,2,134,138,1
0,2,135,139,1
0,2,136,140,1
0,2,137,141,1
0,2,138,142,1
0,2,139,143,1
0,2,140,144,1
0,2,141,145,1
0,2,142,146,1
0,2,143,147,1
0,2,144,148,1
0,2,145,149,1
0,2,146,150,1
0,2,147,151,1
0,2,148,152,1
0,2,149,153,1
0,2,150,154,1
0,2,151,155,1
0,2,152,156,1
0,2,153,157,1
0,2,154,158,1
0,2,155,159,1
0,2,156,160,1
0,2,157,161,1
0,2,158,162,1
0,2,159,163,1
0,2,160,164,1
0,2,161,165,1
0,2,162,166,1
0,2,163,167,1
0,2,164,168,1
0,2,165,169,1
0,2,166,170,1
0,2,167,171,1
0,2,168,172,1
0,2,169,173,1
0,2,170,174,1
0,2,171,175,1
0,2,172,176,1
0,2,173,177,1
0,2,174,178,1
0,2,175,179,1
0,2,176,180,1
0,2,177,181,1
0,2,178,182,1
0,2,179,183,1
0,2,180,184,1
0,2,181,185,1
0,2,182,186,1
0,2,183,187,1
0,2,184,188,1
0,2,185,189,1
0,2,186,190,1
0,2,187,191,1
