-99,CellType,OrigCell,NewCell,PageNum,S2055P4,38
0,2,1,3,1
0,2,2,5,1
0,2,3,6,1
0,2,4,7,1
0,2,5,8,1
0,2,6,9,1
0,2,7,10,1
0,2,8,11,1
0,2,9,12,1
0,2,10,13,1
0,2,11,14,1
0,2,12,15,1
0,2,13,16,1
0,2,14,17,1
0,2,15,18,1
0,2,16,19,1
0,2,17,20,1
0,2,18,21,1
0,2,19,22,1
0,2,20,23,1
0,2,21,24,1
0,2,22,25,1
0,2,23,26,1
0,2,24,27,1
0,2,25,28,1
0,2,26,29,1
0,2,27,30,1
0,2,28,31,1
0,2,29,32,1
0,2,30,33,1
0,2,31,34,1
0,2,32,35,1
0,2,33,36,1
0,2,34,38,1
0,2,35,39,1
0,2,36,40,1
0,2,37,41,1
0,2,38,42,1
0,2,39,43,1
0,2,40,44,1
0,2,41,45,1
0,2,42,46,1
0,2,43,47,1
0,2,44,48,1
0,2,45,49,1
0,2,46,50,1
0,2,47,51,1
0,2,48,52,1
0,2,49,53,1
0,2,50,54,1
0,2,51,55,1
0,2,52,56,1
0,2,53,57,1
0,2,54,58,1
0,2,55,59,1
0,2,56,60,1
0,2,57,61,1
0,2,58,62,1
0,2,59,63,1
0,2,60,64,1
0,2,61,65,1
0,2,62,66,1
0,2,63,67,1
0,2,64,68,1
0,2,65,69,1
0,2,66,70,1
0,2,67,71,1
0,2,68,72,1
0,2,69,73,1
0,2,70,74,1
0,2,71,75,1
0,2,72,76,1
0,2,73,77,1
0,2,74,78,1
0,2,75,79,1
0,2,76,80,1
0,2,77,81,1
0,2,78,82,1
0,2,79,83,1
0,2,80,84,1
0,2,81,86,1
0,2,82,87,1
0,2,83,88,1
0,2,84,89,1
0,2,85,90,1
0,2,86,91,1
0,2,87,92,1
0,2,88,93,1
0,2,89,94,1
0,2,90,95,1
0,2,91,96,1
0,2,92,97,1
0,2,93,98,1
0,2,94,99,1
0,2,95,100,1
0,2,96,101,1
0,2,97,102,1
0,2,98,103,1
0,2,99,104,1
0,2,100,105,1
0,2,101,106,1
0,2,102,107,1
0,2,103,108,1
0,2,104,109,1
0,2,105,110,1
0,2,106,111,1
0,2,107,112,1
0,2,108,113,1
0,2,109,114,1
0,2,110,115,1
0,2,111,116,1
0,2,112,117,1
0,2,113,118,1
0,2,114,119,1
0,2,115,120,1
0,2,116,121,1
0,2,117,122,1
0,2,118,123,1
0,2,119,124,1
0,2,120,125,1
0,2,121,126,1
0,2,122,127,1
0,2,123,128,1
0,2,124,129,1
0,2,125,130,1
0,2,126,131,1
0,2,127,132,1
0,2,128,134,1
0,2,129,135,1
0,2,130,136,1
0,2,131,137,1
0,2,132,138,1
0,2,133,139,1
0,2,134,140,1
0,2,135,141,1
0,2,136,142,1
0,2,137,143,1
0,2,138,144,1
0,2,139,145,1
0,2,140,146,1
0,2,141,147,1
0,2,142,148,1
0,2,143,149,1
0,2,144,150,1
0,2,145,151,1
0,2,146,152,1
0,2,147,153,1
0,2,148,154,1
0,2,149,155,1
0,2,150,156,1
0,2,151,157,1
0,2,152,158,1
0,2,153,159,1
0,2,154,160,1
0,2,155,161,1
0,2,156,162,1
0,2,157,163,1
0,2,158,164,1
0,2,159,165,1
0,2,160,166,1
0,2,161,167,1
0,2,162,168,1
0,2,163,169,1
0,2,164,170,1
0,2,165,171,1
0,2,166,172,1
0,2,167,173,1
0,2,168,174,1
0,2,169,175,1
0,2,170,176,1
0,2,171,177,1
0,2,172,178,1
0,2,173,179,1
0,2,174,180,1
0,2,175,181,1
